Asset,Department,Purpose,Algorithm,KeyLength,TLSVersion,DataLifeYears,Sensitivity,KeyStorage,Cloud,Status,RiskLevel,RiskScore,Recommendation,HarvestNowDecryptLater,CurrentKeyGeneration,FuturePQCKey,RotationPolicy,RevocationMethod,BackupPolicy,PQCReadiness,TLSUpgrade,InfrastructureImpact
Internet Banking,IT,Customer Transactions,RSA,2048,TLS 1.2,20,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,RSA-2048 Key Pair,ML-KEM Hybrid Key,90 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
Mobile Banking,IT,Mobile Payments,ECC,384,TLS 1.2,15,High,HSM,No,Active,High,9,Replace with ML-KEM + ML-DSA,YES,ECC P-384 Key Pair,ML-DSA Hybrid Key,90 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
ATM Network,Operations,Retail Banking,RSA,2048,TLS 1.2,15,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,RSA-2048 Key Pair,ML-KEM Hybrid Key,90 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
Payment Gateway,Finance,Retail Payments,RSA,2048,TLS 1.2,25,High,HSM,Yes,Active,High,10,Replace with ML-KEM Hybrid,YES,RSA-2048 Key Pair,ML-KEM Hybrid Key,90 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
Employee Email,HR,Internal Communication,RSA,2048,TLS 1.2,7,Medium,Software Vault,Yes,Active,High,10,Replace with ML-KEM Hybrid,NO,RSA-2048 Key Pair,ML-KEM Hybrid Key,180 Days,Certificate Revocation List (CRL),Encrypted Vault Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
VPN Gateway,Security,Remote Access,RSA,2048,TLS 1.2,10,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,RSA-2048 Key Pair,ML-KEM Hybrid Key,90 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
Customer Database,Database,Customer Records,AES,256,,30,Critical,HSM,No,Active,Low,2,Continue using AES-256,NO,AES-256 Symmetric Key,AES-256 (No Change),30 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Ready,N/A,Low
Backup Server,Infrastructure,Disaster Recovery,AES,256,,25,High,HSM,No,Active,Low,2,Continue using AES-256,NO,AES-256 Symmetric Key,AES-256 (No Change),90 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Ready,N/A,Low
Cloud Storage,Cloud,Document Storage,AES,256,,20,High,Cloud KMS,Yes,Active,Low,2,Continue using AES-256,NO,AES-256 Symmetric Key,AES-256 (No Change),90 Days,Certificate Revocation List (CRL),Cloud Key Backup,Ready,N/A,Low
Certificate Authority,Security,Digital Certificates,RSA,4096,,20,Critical,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,RSA-4096 Key Pair,ML-KEM Hybrid Key,30 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Migration Required,N/A,Medium
Internal Portal,IT,Employee Services,ECC,384,TLS 1.2,8,Medium,Software Vault,No,Active,High,9,Replace with ML-KEM + ML-DSA,NO,ECC P-384 Key Pair,ML-DSA Hybrid Key,180 Days,Certificate Revocation List (CRL),Encrypted Vault Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
Document Management,Administration,Official Documents,RSA,2048,TLS 1.2,15,Medium,Software Vault,Yes,Active,High,10,Replace with ML-KEM Hybrid,YES,RSA-2048 Key Pair,ML-KEM Hybrid Key,180 Days,Certificate Revocation List (CRL),Encrypted Vault Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
Core Banking System,Banking,Financial Transactions,RSA,4096,TLS 1.2,30,Critical,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,RSA-4096 Key Pair,ML-KEM Hybrid Key,30 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
Fraud Detection Server,Security,Transaction Monitoring,AES,256,,10,High,HSM,Yes,Active,Low,2,Continue using AES-256,NO,AES-256 Symmetric Key,AES-256 (No Change),90 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Ready,N/A,Low
Identity Management,Security,Authentication,ECC,384,TLS 1.2,20,Critical,HSM,No,Active,High,9,Replace with ML-KEM + ML-DSA,YES,ECC P-384 Key Pair,ML-DSA Hybrid Key,30 Days,Certificate Revocation List (CRL),Encrypted HSM Backup,Migration Required,Hybrid TLS (TLS 1.3 + ML-KEM),Medium
